                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.90083,                0.56719,                0.98817,                0.99921,                0.97115,                0.98278,                0.74302,                0.89482,                0.56243,                 1.0532,              0.0018152,              0.0018152,              0.0018152
                     59,                0.88655,                0.55195,                0.99782,                0.99915,                0.97115,                0.98985,                0.75587,                0.87206,                0.53414,                 1.0601,              0.0018119,              0.0018119,              0.0018119
                     60,                0.91451,                0.57784,                 1.0079,                      1,                0.97852,                0.99404,                0.79535,                0.78805,                0.52348,                 0.9999,              0.0018086,              0.0018086,              0.0018086
                     61,                0.87399,                0.57541,                 1.0021,                0.99017,                0.96857,                0.99262,                 0.7884,                0.78959,                0.52535,                0.99774,              0.0018053,              0.0018053,              0.0018053
                     62,                0.94572,                 0.5957,                 1.0167,                0.97955,                0.96154,                0.98044,                 0.7792,                0.81202,                 0.6033,                 1.0052,               0.001802,               0.001802,               0.001802
                     63,                0.87795,                0.56364,                0.99606,                0.98669,                0.96154,                0.97828,                0.78049,                0.79339,                0.60246,                 1.0213,              0.0017987,              0.0017987,              0.0017987
                     64,                0.87846,                0.57307,                  1.016,                0.99884,                0.97115,                0.97635,                 0.7919,                0.80246,                0.53061,                  1.042,              0.0017954,              0.0017954,              0.0017954
                     65,                0.84553,                0.52198,                0.99446,                0.99912,                0.97115,                0.97727,                0.79659,                0.79615,                0.50578,                 1.0187,              0.0017921,              0.0017921,              0.0017921
                     66,                0.88578,                0.54333,                0.98192,                0.97101,                0.96633,                0.97595,                0.77201,                 0.8636,                0.58249,                 1.0409,              0.0017888,              0.0017888,              0.0017888
                     67,                0.89828,                0.56599,                 1.0263,                0.97845,                0.96154,                0.97487,                0.76637,                0.84511,                0.53786,                 1.0281,              0.0017855,              0.0017855,              0.0017855
                     68,                 0.9403,                0.54348,                 1.0113,                0.99017,                0.97115,                0.97768,                0.76898,                0.86324,                0.51044,                 1.0454,              0.0017822,              0.0017822,              0.0017822
                     69,                0.89719,                0.57097,                 1.0144,                0.99978,                0.97115,                0.98352,                0.79225,                0.82779,                 0.4923,                 1.0366,              0.0017789,              0.0017789,              0.0017789
                     70,                0.85385,                0.55806,                 1.0016,                      1,                0.97079,                0.98511,                0.79419,                0.79702,                0.47941,                 1.0277,              0.0017756,              0.0017756,              0.0017756
                     71,                0.88493,                0.53089,                 1.0202,                0.98998,                0.97115,                0.98494,                0.79485,                0.77177,                0.53863,                 1.0387,              0.0017723,              0.0017723,              0.0017723
                     72,                0.82386,                0.53472,                0.97625,                0.98536,                0.97115,                0.98281,                0.78421,                0.78918,                 0.5851,                 1.0358,               0.001769,               0.001769,               0.001769
                     73,                0.83778,                0.51505,                0.96678,                0.98818,                0.97115,                0.98432,                0.77162,                0.80428,                0.55194,                 1.0312,              0.0017657,              0.0017657,              0.0017657
                     74,                0.95396,                0.63424,                 1.0219,                0.99903,                0.97115,                0.98581,                0.76525,                0.82785,                 0.4971,                 1.0278,              0.0017624,              0.0017624,              0.0017624
                     75,                0.87071,                0.56467,                 1.0081,                0.99911,                0.97115,                0.97613,                0.78955,                0.75175,                0.46952,                 1.0072,              0.0017591,              0.0017591,              0.0017591
                     76,                0.79144,                0.51581,                0.97617,                0.99913,                0.97115,                0.98125,                0.79464,                0.77652,                 0.5007,                   1.01,              0.0017558,              0.0017558,              0.0017558
                     77,                 0.8298,                0.53337,                0.98501,                0.99905,                0.97115,                0.98929,                0.77963,                0.83211,                0.52188,                 1.0235,              0.0017525,              0.0017525,              0.0017525
                     78,                0.82523,                 0.5174,                0.95808,                0.99931,                0.97115,                0.99213,                0.79159,                0.82345,                0.50858,                 1.0266,              0.0017492,              0.0017492,              0.0017492
                     79,                0.82934,                0.51187,                0.96232,                0.99908,                0.97115,                0.99243,                0.80817,                0.70736,                0.45709,                0.99355,              0.0017459,              0.0017459,              0.0017459
                     80,                0.82842,                0.52349,                0.98045,                0.99957,                0.97115,                0.99291,                0.80301,                0.72521,                0.47581,                  1.014,              0.0017426,              0.0017426,              0.0017426
                     81,                0.79265,                0.47596,                0.98394,                0.99987,                0.97115,                0.99199,                0.80518,                0.76021,                0.46813,                 1.0275,              0.0017393,              0.0017393,              0.0017393
                     82,                 0.8205,                0.50339,                0.97035,                      1,                0.97058,                0.99247,                0.80485,                0.77113,                 0.4629,                  1.029,               0.001736,               0.001736,               0.001736
                     83,                0.82581,                0.51558,                0.99439,                0.99916,                0.96154,                0.99134,                0.78909,                0.76549,                0.51078,                 1.0105,              0.0017327,              0.0017327,              0.0017327
                     84,                0.82092,                0.53091,                0.98581,                0.99928,                0.96154,                0.98808,                0.80022,                 0.7192,                0.46295,                0.99589,              0.0017294,              0.0017294,              0.0017294
                     85,                0.83768,                0.51251,                0.99946,                      1,                 0.9702,                 0.9862,                0.78382,                0.78922,                0.47423,                 1.0394,              0.0017261,              0.0017261,              0.0017261
                     86,                0.91223,                0.53449,                  1.041,                      1,                0.97061,                0.98434,                0.75743,                0.90043,                0.51206,                 1.0865,              0.0017228,              0.0017228,              0.0017228
                     87,                0.83062,                0.49472,                0.99315,                0.99923,                0.97115,                0.98703,                0.76064,                0.83895,                0.50593,                 1.0034,              0.0017195,              0.0017195,              0.0017195
                     88,                0.89575,                0.52808,                  1.008,                0.99883,                0.97115,                0.98599,                0.77895,                0.80435,                0.48375,                 1.0065,              0.0017162,              0.0017162,              0.0017162
                     89,                0.86888,                0.51373,                 1.0212,                0.99894,                0.97115,                0.98579,                0.81961,                0.65357,                0.44959,                0.96239,              0.0017129,              0.0017129,              0.0017129
                     90,                0.82828,                0.50791,                0.98848,                0.99887,                0.97115,                0.98154,                0.79428,                0.71561,                0.46816,                0.99286,              0.0017096,              0.0017096,              0.0017096
                     91,                0.81269,                0.50853,                0.98223,                0.99888,                0.97115,                0.98319,                0.78848,                0.73236,                0.48533,                0.98653,              0.0017063,              0.0017063,              0.0017063
                     92,                0.82385,                0.49694,                 0.9875,                0.99823,                0.97115,                0.98252,                0.79661,                0.71638,                0.44452,                0.98881,               0.001703,               0.001703,               0.001703
                     93,                0.83373,                0.49075,                 1.0212,                0.99864,                0.97115,                 0.9866,                0.81019,                0.69326,                0.45364,                0.98773,              0.0016997,              0.0016997,              0.0016997
                     94,                0.85619,                0.56612,                   1.03,                0.99923,                0.97115,                0.99209,                0.84079,                0.62669,                0.45847,                0.96352,              0.0016964,              0.0016964,              0.0016964
                     95,                0.78904,                0.53568,                 1.0079,                 0.9991,                0.97115,                 0.9918,                0.84355,                0.61508,                0.42004,                0.95148,              0.0016931,              0.0016931,              0.0016931
                     96,                0.79462,                0.53168,                0.98129,                0.99885,                0.97115,                0.98902,                0.84655,                0.60735,                0.40074,                0.96201,              0.0016898,              0.0016898,              0.0016898
                     97,                 0.7163,                0.46197,                0.96587,                0.99846,                0.97115,                0.99022,                0.84617,                0.59555,                0.40501,                0.95537,              0.0016865,              0.0016865,              0.0016865
                     98,                0.76284,                0.46128,                0.95992,                0.99936,                0.97115,                0.99264,                0.84026,                0.64264,                0.42939,                0.97605,              0.0016832,              0.0016832,              0.0016832
                     99,                0.79443,                0.50529,                0.97247,                0.99951,                0.97115,                0.99346,                0.83802,                 0.6583,                0.43572,                0.97371,              0.0016799,              0.0016799,              0.0016799
                    100,                0.83042,                 0.4989,                0.99598,                0.99913,                0.97115,                0.99376,                0.78625,                0.79276,                0.46913,                  1.009,              0.0016766,              0.0016766,              0.0016766
                    101,                0.76205,                0.44741,                0.94194,                0.99927,                0.97115,                0.99346,                0.80043,                0.76742,                0.46474,                0.99109,              0.0016733,              0.0016733,              0.0016733
                    102,                0.78099,                0.47951,                0.94373,                0.99913,                0.97115,                0.99369,                0.82901,                0.66133,                0.42458,                0.96786,                0.00167,                0.00167,                0.00167
                    103,                0.81609,                0.48534,                 1.0057,                0.99932,                0.97115,                0.99335,                0.83716,                0.64057,                0.41468,                0.95125,              0.0016667,              0.0016667,              0.0016667
